iter	Passed	Remaining
555	22257	17774
556	22297	17733
557	22334	17691
558	22399	17671
559	22624	17776
560	22963	17969
561	23251	18121
562	23480	18225
563	23776	18380
564	24079	18538
565	24359	18678
566	24697	18861
567	25004	19017
568	25365	19213
569	25791	19456
570	26049	19571
571	26369	19731
572	26643	19854
573	26892	19958
574	26930	19905
575	26976	19857
576	27011	19802
577	27048	19748
578	27089	19697
579	27126	19643
580	27161	19587
581	27196	19533
582	27235	19480
583	27270	19425
584	27317	19379
585	27352	19324
586	27385	19267
587	27425	19216
588	27473	19170
589	27509	19116
590	27554	19068
591	27590	19015
592	27628	18962
593	27664	18908
594	27702	18856
595	27742	18804
596	27778	18751
597	27817	18700
598	27853	18646
599	27888	18592
600	27925	18539
601	27963	18487
602	28002	18436
603	28039	18383
604	28074	18329
605	28112	18277
606	28151	18226
607	28190	18175
608	28232	18126
609	28269	18073
610	28311	18024
611	28351	17974
612	28390	17923
613	28438	17878
614	28479	17828
615	28520	17778
616	28559	17728
617	28605	17681
618	28653	17636
619	28695	17587
620	28738	17539
621	28779	17489
622	28821	17441
623	28874	17398
624	29008	17404
625	29062	17363
626	29105	17314
627	29162	17274
628	29255	17255
629	29323	17221
630	29391	17187
631	29459	17153
632	29593	17157
633	29636	17108
634	29877	17173
635	29971	17153
636	30115	17161
637	30248	17162
638	30366	17155
639	30557	17188
640	30607	17141
641	30656	17095
642	30715	17053
643	30813	17033
644	30903	17009
645	30970	16971
646	31016	16922
647	31072	16879
648	31132	16837
649	31187	16793
650	31254	16755
651	31334	16724
652	31407	16689
653	31528	16680
654	31613	16651
655	31700	16623
656	31768	16585
657	31891	16575
658	31986	16551
659	32016	16493
660	32041	16432
661	32082	16380
662	32114	16323
663	32148	16268
664	32175	16208
665	32201	16149
666	32228	16090
667	32257	16032
668	32285	15973
669	32345	15931
670	32405	15888
671	32572	15898
672	32703	15889
673	32827	15877
674	32923	15851
675	32966	15800
676	33045	15766
677	33123	15731
678	33168	15680
679	33228	15636
680	33347	15621
681	33432	15588
682	33461	15530
683	33506	15479
684	33536	15421
685	33561	15361
686	33590	15303
687	33621	15246
