;cecha;wagi
71;adgra2_mut;0.00014572663998773538
85;brca2_mut;0.00014054131802838493
78;fancd2_mut;0.00012619296168285763
64;setd2_mut;0.0001224044869279254
92;l1cam_mut;0.00011546423854012002
70;alk_mut;0.00011168833721283198
69;rb1_mut;0.00010521753589819979
60;sf3b1_mut;0.00010224490850592363
113;men1_mut;9.317771393173455e-05
80;kdm6a_mut;8.787561266155363e-05
65;setd1a_mut;8.776833703992371e-05
86;cacna2d3_mut;7.85398658951939e-05
112;gps2_mut;7.472640244703428e-05
121;foxp1_mut;6.998067259484458e-05
74;asxl2_mut;6.503487672127017e-05
79;taf1_mut;6.378916175237276e-05
100;smarcc2_mut;6.10288215497942e-05
101;erbb4_mut;5.4925910046908816e-05
102;agmo_mut;5.187130611865984e-05
103;zfp36l1_mut;4.499508517775948e-05
110;bcas3_mut;4.478354903909667e-05
93;pbrm1_mut;4.160403470988585e-05
91;bap1_mut;4.153850378014523e-05
106;prkcq_mut;3.88910515291339e-05
118;or6a2_mut;3.5714997808927216e-05
125;prkce_mut;3.501538175373701e-05
114;brip1_mut;3.478002762002866e-05
82;brca1_mut;3.156318735801749e-05
111;cdkn1b_mut;2.7574578918523136e-05
88;aff2_mut;2.7535293623511687e-05
115;nrg3_mut;2.6582926383633714e-05
72;ubr5_mut;2.3615945135520276e-05
128;kras_mut;1.832753287698729e-05
95;jak1_mut;1.5381991048708485e-05
96;setdb1_mut;1.4739502540129831e-05
105;casp8_mut;1.4594583787107002e-05
127;gpr32_mut;1.4227368476486451e-05
107;smarcc1_mut;1.1512920495373398e-05
90;ncoa3_mut;9.917715504036836e-06
132;akt2_mut;9.732415912264745e-06
97;arid5b_mut;7.64138925247236e-06
119;map3k13_mut;3.365192762298145e-06
122;clk3_mut;2.5812401730103455e-06
109;dcaf4l2_mut;0.0
6;cancer_type;0.0
99;map3k10_mut;0.0
178;kdm3a_mut;0.0
177;fam20c_mut;0.0
176;gldc_mut;0.0
175;myo1a_mut;0.0
174;ptprm_mut;0.0
172;sik2_mut;0.0
171;hdac9_mut;0.0
170;agtr2_mut;0.0
165;prkacg_mut;0.0
169;sbno1_mut;0.0
168;myo3a_mut;0.0
167;sik1_mut;0.0
163;npnt_mut;0.0
164;stk11_mut;0.0
145;ctnna1_mut;0.0
