;missing in:;chi2:;p_value;category
5399;prr16_mut;344.9248957632241;5.892220001335729e-34;notch1_mut
5486;prr16_mut;172.23452965440416;8.4827984561694e-34;kras_mut
6565;ccnd3_mut;478.0914223353121;1.1586973199129793e-33;pik3ca_mut
4264;large1_mut;236.45306144633977;1.7404192529050248e-33;lifr_mut
6226;foxo1_mut;189.55556494192186;1.8917730698425063e-33;prkcz_mut
6228;foxo1_mut;189.55122698136057;1.895644736273369e-33;prkce_mut
6526;braf_mut;189.55122698136054;1.8956447362733974e-33;prkce_mut
6462;braf_mut;283.68746464628555;2.8736268531768767e-33;shank2_mut
3315;ptpn22_mut;378.3898791350865;4.126184703892687e-33;tg_mut
5790;ctnna1_mut;172.21511672321117;4.427431123909699e-33;frmd3_mut
6576;ccnd3_mut;422.0159814297229;4.433815868530725e-33;dnah2_mut
6523;braf_mut;189.5555649419218;7.404883801733884e-33;clk3_mut
6225;foxo1_mut;189.55556494192177;7.404883801733993e-33;clk3_mut
5396;prr16_mut;344.93352373834426;1.0297745731982398e-32;col6a3_mut
1434;myo3a_mut;227.48371628006538;1.1176254577940679e-32;aff2_mut
6420;braf_mut;569.7791242435928;1.2318150339537098e-32;kmt2c_mut
4123;prkacg_mut;222.41871722468738;1.2510095426046728e-32;arid5b_mut
1808;sbno1_mut;469.50398826632374;2.0635359544387663e-32;pik3ca_mut
5821;agtr2_mut;746.8511182510381;3.15714202625379e-32;tp53_mut
3972;hdac9_mut;209.9751085505664;3.946117497147651e-32;jak1_mut
2164;er_status_measured_by_ihc;250.89869021053656;5.996701799839798e-32;asxl2_mut
3189;sik2_mut;269.8987759543024;6.424507492968394e-32;lamb3_mut
6432;braf_mut;379.6552489131157;6.637686324994561e-32;herc2_mut
5823;agtr2_mut;603.6297409918334;7.536112226979611e-32;ahnak2_mut
6799;nr3c1_mut;210.76522173475237;8.502949902790572e-32;smarcc2_mut
6653;ccnd3_mut;210.75365631841913;8.547155043190589e-32;zfp36l1_mut
4091;prkacg_mut;258.5009125819499;9.208072065696014e-32;setd1a_mut
6215;foxo1_mut;189.5860596758301;9.996454066607212e-32;gps2_mut
6223;foxo1_mut;189.56860641000023;1.0077646850205163e-31;rpgr_mut
3905;hdac9_mut;420.83603044282694;1.2998789447387328e-31;ush2a_mut
5394;prr16_mut;344.95517746613643;1.630593261272013e-31;utrn_mut
3155;sik2_mut;450.7367937950343;2.346600519964007e-31;ahnak_mut
4257;large1_mut;236.4799960055559;2.521485041846869e-31;brca1_mut
6793;nr3c1_mut;210.76908509344221;2.5551421737275694e-31;chd1_mut
2856;type_of_breast_surgery;516.22439614547;2.6635500372406964e-31;map3k1_mut
2767;sik1_mut;235.72046247520004;3.4919312835629105e-31;ctnna3_mut
6220;foxo1_mut;189.57732378388818;3.529129245534182e-31;ttyh1_mut
2455;npnt_mut;252.8887395786596;3.9402882849558053e-31;afdn_mut
3684;flt3_mut;198.80140378189859;6.234693512345833e-31;casp8_mut
6651;ccnd3_mut;210.7613624903955;7.559051485429181e-31;erbb4_mut
4532;oncotree_code;252.4447315092629;1.1479714805579927e-30;setd1a_mut
4678;cancer_type_detailed;252.4447315092629;1.1479714805579927e-30;setd1a_mut
4386;tumor_other_histologic_subtype;252.4447315092629;1.1479714805579927e-30;setd1a_mut
6916;tbl1xr1_mut;237.28718838046603;1.1871414736705486e-30;erbb3_mut
6222;foxo1_mut;189.5729627858694;1.2051727500475989e-30;map3k13_mut
5405;prr16_mut;172.5671222827947;1.4242611430906733e-30;akt1_mut
6466;braf_mut;251.77225222018183;1.5180442959743384e-30;setd1a_mut
5636;dtwd2_mut;172.23452965440416;1.665989744786378e-30;chek2_mut
6512;braf_mut;189.5860596758301;3.96473360829644e-30;cdkn1b_mut
5342;clrn2_mut;157.7923789654538;4.628635414089679e-30;prkg1_mut
5779;ctnna1_mut;172.24426693417715;6.4542682529573e-30;prkcz_mut
5483;prr16_mut;172.23939571965298;6.469013327150602e-30;prkce_mut
2819;sik1_mut;156.90693014465091;7.087423374742037e-30;prkg1_mut
6925;tbl1xr1_mut;237.26004885631806;7.572357742406615e-30;asxl1_mut
4253;large1_mut;236.50704622578857;1.039372363182019e-29;fancd2_mut
5395;prr16_mut;344.9508371127121;1.682187649985687e-29;tbx3_mut
3679;flt3_mut;198.83454539923582;1.757440498244702e-29;smarcc2_mut
4813;ppp2r2a_mut;291.60343040227013;1.7986541942402098e-29;stab2_mut
3625;flt3_mut;298.6689222354604;2.1932263920269411e-29;pten_mut
5778;ctnna1_mut;172.24426693417715;2.4096604489178538e-29;clk3_mut
2204;er_status_measured_by_ihc;187.9188683221285;2.7154253107217296e-29;brip1_mut
5103;ldlrap1_mut;316.0673193592662;3.3940499490566374e-29;ncor2_mut
6505;braf_mut;189.5991983643757;3.978225135017472e-29;smad4_mut
6358;nt5e_mut;189.59481414489466;3.9860896693537103e-29;prkcq_mut
